Sound;Number;ValenceMean;ValenceSD;ArousalMean;ArousalSD
Cat;102;4.63;2.17;4.91;1.97
Panting;104;4.96;1.68;5.37;1.66
Puppy;105;2.88;2.14;6.4;2.13
Growl1;106;3.37;1.64;6.39;1.62
Dog;107;5.47;2.22;5.85;1.81
Carousel;109;6.4;2.13;5.64;1.84
Baby;110;7.64;2.1;6.03;1.98
MusicBox;111;6.01;2.19;5.65;1.91
Kids1;112;6.84;1.72;4.46;2.13
Cows;113;5.45;1.71;4.88;1.95
Cattle;114;5.01;1.85;6.04;1.81
Bees;115;2.16;1.33;7.03;1.91
Buzzing;116;3.02;1.65;6.51;2.13
Rooster;120;5.2;2.1;5.41;2.13
Pig;130;4.64;2.11;4.93;1.98
Chickens;132;5.64;1.76;4.77;1.73
Growl2;133;3.79;1.69;6.23;1.84
RattleSnake;134;3.55;1.99;6.98;1.67
Seagull;150;6.95;1.64;4.38;2.22
Robin;151;7.12;1.56;4.47;2.27
Tropical;152;5.23;2.28;5.51;2.23
Night;170;5.31;2.12;4.6;2.07
CountryNight;171;5.59;1.79;3.71;2.05
Brook;172;6.62;1.69;3.36;2.07
EroticCouple;200;6.31;1.93;7.1;1.66
EroticFem1;201;6.7;2.22;7.31;1.86
EroticFem2;202;6.81;2.08;7.13;1.89
EroticFem4;204;5.68;2.16;6.82;1.71
EroticFem3;205;6.47;1.98;6.46;2.06
Shower;206;6.2;1.6;4.4;1.82
EroticMale1;210;5.72;2.26;6.64;1.83
EroticCouple2;215;6.47;2.12;7.32;1.81
EroticCouple3;216;5.97;2.06;6.84;1.53
BoyLaugh;220;7.28;1.91;6;1.99
MaleLaugh;221;6.56;1.75;5.05;1.91
Kids2;224;6.11;1.9;5.64;1.89
ClapGame;225;5.96;1.51;4.83;1.93
Laughing;226;7.78;1.37;5.42;2.13
Giggling;230;7.05;1.44;4.84;1.86
MaleCough;241;2.46;1.53;5.87;2.06
FemaleCough;242;2.8;1.86;5.39;1.91
CoupleSneeze;243;3.86;1.7;5.19;2.06
ManWheeze;244;2.44;1.34;6.31;1.85
Hiccup;245;4.18;1.85;5.05;1.82
HeartBeat;246;4.83;1.81;4.65;2.49
MaleSneeze;250;3.54;1.57;4.94;1.90
NoseBlow;251;4.16;2.02;5.14;2.11
MaleSnore;252;4.01;1.87;4.75;2.39
VideoGame;254;6.17;1.65;5.58;1.99
Vomit;255;2.08;1.78;6.59;2.08
BabiesCry;260;2.04;1.39;6.87;2.13
BabyCry;261;2.75;1.68;6.51;1.96
Yawn;262;5.26;1.58;2.88;1.74
Whistling;270;6.1;1.83;4.23;2.06
Scream;275;2.05;1.62;8.16;2.15
FemScream2;276;1.93;1.63;7.77;1.50
FemScream3;277;1.63;1.13;7.79;1.63
ChildAbuse;278;1.57;1.43;7.27;1.60
Attack1;279;1.68;1.31;7.95;2.22
WomanCrying;280;3.65;1.87;5.33;1.46
Attack3;281;3.43;2.63;7.33;1.89
Fight2;282;2.92;2.34;7.2;1.63
Fight3;283;3.05;1.72;6.2;1.60
Attack3;284;2.01;1.48;7.05;1.65
Attack2;285;1.8;1.56;7.79;2.01
Victim;286;1.68;1.18;7.88;1.72
Creep;288;2.71;1.75;6.82;1.63
GunShot;289;3.08;1.71;6.57;1.80
Fight1;290;1.65;1.27;7.61;1.99
Prowler;291;3.67;1.7;6.35;1.76
MaleScream;292;1.99;1.41;7.28;1.74
ManSobbing;293;3.08;1.92;5.74;1.69
CoupleSobbing;295;3.27;2.39;5.79;1.81
WomenCrying;296;2.06;1.22;6.07;1.97
Crowd1;310;3.89;2.32;6.78;2.02
Crowd2;311;7.65;1.58;7.12;1.83
Crowd3;312;3.89;2.13;6.89;1.88
Office2;319;3.56;1.44;6.08;1.39
Office1;320;4.23;1.56;5.48;1.95
TypeWriter;322;5.01;1.82;4.79;2.16
Applause1;351;7.32;1.62;5.55;2.08
SportsCrowd;352;7.17;1.97;7.07;2.12
Baseball;353;7.38;1.53;6.62;1.42
Crowd4;355;6.77;1.84;6.32;1.66
Writing;358;4.52;1.34;4.87;1.98
RollerCoaster;360;6.94;2.25;7.54;1.97
Restaurant;361;5.36;1.62;5.01;1.65
HorseRace;363;6.1;1.88;6.32;2.00
Bar;364;5.19;1.85;5.62;1.75
Party;365;6.97;1.9;6.32;1.90
Casino1;366;7.09;1.73;6.26;1.63
Casino2;367;7.33;1.74;6.72;2.03
Crowd5;368;5.15;1.33;4.75;1.84
CourtSport;370;5.94;1.66;4.44;1.72
Paint;373;5.09;1.55;4.65;2.17
Sink;374;5.6;1.35;4.23;1.89
Polaroid;375;5.99;1.6;4.48;1.74
Lawnmower;376;4.88;1.62;4.6;1.93
Rain1;377;5.84;1.73;3.93;1.87
Doorbell;378;6.06;2.01;6.15;2.22
JackHammer;380;3.7;1.88;6.33;1.73
Shovel;382;4.33;1.42;4.64;1.88
Jet;400;6.02;1.49;5.38;1.87
Helicopter1;403;5.57;1.83;5.56;1.99
Helicopter2;410;4.86;1.48;5.89;2.06
Countdown;415;6.46;1.67;6.55;1.56
CarHorns;420;2.34;1.51;7.08;2.06
TireSkids;422;2.22;1.47;7.52;1.90
Injury;423;3.31;1.79;6.23;1.60
CarWreck;424;2.04;1.52;7.99;1.66
Train;425;5.09;1.42;5.15;1.54
Wind;500;4.32;2.03;5.4;1.93
PlaneCrash;501;2.74;1.76;6.93;1.91
EngineFailure;502;3.15;2.01;6.32;1.87
BikeWreck;600;2.13;1.55;7.28;1.90
ColonialMusic;601;6.53;1.66;5.84;1.80
Thunderstorm;602;5.99;2.23;3.77;1.74
CowboyIndians;610;5.94;2.02;6.48;2.11
BattleTaps;611;3.02;2.06;5.34;1.75
AirRaid;624;2.82;1.75;7.1;2.10
MayDay;625;3.35;2.03;6.94;1.77
Explosion;626;3.37;1.98;6.61;1.71
Rain1;627;4.83;1.89;4.65;2.12
Rain2;698;5.18;1.94;4.12;1.98
Bomb;699;3.59;2.07;6.15;2.36
Toilet;700;4.68;1.61;4.03;2.36
Fan;701;4.95;1.47;4.41;2.06
Belch;702;4.45;2.57;5.37;1.95
BusySignal;703;2.65;1.59;5.68;1.89
Phone1;704;5.49;1.98;6.54;2.17
Phone2;705;5.35;1.43;4.15;1.72
War;706;4.16;1.68;5.3;1.83
Clock;708;4.34;1.42;3.51;2.05
AlarmClock;709;2.78;1.93;7.54;2.28
Cuckoo;710;4.27;2.04;6.24;1.88
Siren1;711;2.61;1.59;7.39;2.02
Buzzer;712;2.42;1.62;7.98;1.99
Sirens;713;2.95;1.71;6.98;1.53
Siren2;714;3.1;1.67;6.94;1.85
Alarm;715;4.3;2.5;6.99;1.79
SlotMachine1;716;7;2.17;6.44;1.73
SlotMachine2;717;7.32;1.64;6.56;2.19
DentistDrill;719;2.89;1.67;6.91;2.02
BrushTeeth;720;4.86;1.8;4.18;1.79
Beer;721;6.71;1.75;5;2.12
Walking;722;4.83;1.22;4.97;1.82
Radio;723;4.52;1.47;4.42;1.92
Chewing;724;5.34;1.97;4.91;1.74
SodaFizz;725;6.61;1.8;4.55;2.17
CorkPour;726;6.82;1.6;4.51;2.08
Paper1;728;4.72;1.26;4.35;2.09
Paper2;729;4.3;1.69;5.79;1.90
GlassBreak;730;3.22;1.45;6.23;1.78
Crash;732;2.89;1.68;6.98;1.75
NativeSong;802;6.17;1.99;5.29;1.74
Bugle;808;6.32;1.76;6.35;2.15
Harp;809;7.44;1.41;3.36;1.84
Beethoven;810;7.51;1.66;4.18;2.38
Bach;811;7.4;1.63;4.95;2.46
Choir;812;6.9;1.69;3.43;2.56
Wedding;813;7.2;1.86;5.89;2.40
RockNRoll;815;7.9;1.53;6.85;2.16
Guitar;816;6.98;1.9;5.23;2.08
Bongos;817;7.67;1.46;7.15;2.11
FunkMusic;820;6.94;1.98;5.87;1.92
BagPipes;826;6.21;2.12;5.07;2.06
Electricity;910;3.86;1.83;6.18;2.27
